Distance_m,Latitude,Longitude,Altitude_m,Slope_percent
24200,-26.71739527896996,27.688521228128096,1458.0,1.0
24300,-26.71697253218884,27.6879423902278,1459.0,1.0
24400,-26.716549785407725,27.6873635523275,1460.0,0.0
24500,-26.71612703862661,27.686784714427205,1460.0,2.0
24600,-26.715704291845494,27.68620587652691,1462.0,0.0
24700,-26.71528154506438,27.68562703862661,1462.0,1.0
24800,-26.714858798283263,27.685048200726314,1463.0,1.0
24900,-26.714436051502148,27.684469362826018,1464.0,1.0
25000,-26.714013304721032,27.68389052492572,1465.0,1.0
25100,-26.713590557939916,27.683311687025423,1466.0,1.0
25200,-26.7131678111588,27.682732849125124,1467.0,1.0
25300,-26.712745064377682,27.682154011224828,1468.0,1.0
25400,-26.712322317596566,27.681575173324532,1469.0,0.0
25500,-26.71189957081545,27.680996335424233,1469.0,1.0
25600,-26.711476824034335,27.680417497523937,1470.0,1.0
25700,-26.71105407725322,27.67983865962364,1471.0,0.0
25800,-26.710631330472104,27.679259821723342,1471.0,1.0
25900,-26.71020858369099,27.678680983823046,1472.0,1.0
26000,-26.709785836909873,27.678102145922747,1473.0,0.0
26100,-26.709363090128758,27.67752330802245,1473.0,1.0
26200,-26.708940343347642,27.676944470122155,1474.0,1.0
26300,-26.708517596566523,27.676365632221856,1475.0,1.0
26400,-26.708094849785407,27.67578679432156,1476.0,0.0
26500,-26.707672103004292,27.67520795642126,1476.0,1.0
26600,-26.707249356223176,27.674629118520965,1477.0,1.0
26700,-26.70682660944206,27.67405028062067,1478.0,0.0
26800,-26.706403862660945,27.67347144272037,1478.0,1.0
26900,-26.70598111587983,27.672892604820074,1479.0,2.0
27000,-26.705558369098714,27.67231376691978,1481.0,0.0
27100,-26.7051356223176,27.67173492901948,1481.0,1.0
27200,-26.704712875536483,27.671156091119183,1482.0,1.0
27300,-26.704290128755368,27.670577253218884,1483.0,1.0
27400,-26.70386738197425,27.669998415318588,1484.0,1.0
27500,-26.703444635193133,27.669419577418292,1485.0,1.0
27600,-26.703021888412017,27.668840739517993,1486.0,1.0
27700,-26.702599141630902,27.668261901617697,1487.0,-1.0
27800,-26.702176394849786,27.6676830637174,1486.0,1.0
27900,-26.70175364806867,27.667104225817102,1487.0,0.0
28000,-26.701330901287555,27.666525387916806,1487.0,0.0
28100,-26.70090815450644,27.665946550016507,1487.0,0.0
28200,-26.700485407725324,27.66536771211621,1487.0,1.0
28300,-26.70006266094421,27.664788874215915,1488.0,0.0
28400,-26.69963991416309,27.664210036315616,1488.0,1.0
28500,-26.699217167381974,27.66363119841532,1489.0,0.0
28600,-26.69879442060086,27.663052360515024,1489.0,0.0
28700,-26.698371673819743,27.662473522614725,1489.0,1.0
28800,-26.697948927038627,27.66189468471443,1490.0,0.0
